,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
31516,1.3808759117,1.4230057829,1.3808759117,1.4089138269,4636711.44440459,74153312.7963317,2019-11-13T23:59:59.999Z,FTX Token,2019-11-13
31517,62.2528929111,65.7061750686,62.1121263386,65.3302385762,208429249.41397,1130631620.61736,2019-11-13T23:59:59.999Z,Monero,2019-11-13
31518,4.2090376446,4.2312734209,3.975275995,3.9953334604,174490241.912341,761863901.639583,2019-11-13T23:59:59.999Z,Cosmos,2019-11-13
31519,0.2726701533,0.2973258903,0.2712673028,0.2868810241,110070634.344048,123947162.176495,2019-11-13T23:59:59.999Z,Algorand,2019-11-13
31520,61.3704205959,62.0570720205,60.8725331746,61.1113468285,3094050321.3239,3891188361.46264,2019-11-13T23:59:59.999Z,Litecoin,2019-11-13
31521,3.1779563199,3.3547387106,3.1608361,3.3021687231,97006262.8394627,66043374.4612,2019-11-13T23:59:59.999Z,OKB,2019-11-13
31522,0.00653766231434,0.00655930446847,0.00615813442999,0.00630807796306,84395893.9169066,349812790.539217,2019-11-13T23:59:59.999Z,VeChain,2019-11-13
31523,8756.44816809,8854.83770946,8718.27504192,8823.05133744,46986.9889605225,5084263.47506992,2019-11-13T23:59:59.999Z,Wrapped Bitcoin,2019-11-13
31524,1.0014666343,1.0068901962,0.9997172589,1.0031752946,20071939197.2621,4121088707.56018,2019-11-13T23:59:59.999Z,Tether,2019-11-13
31525,0.272379311,0.2756648139,0.271303383,0.2730361644,1278922350.3469,11822051382.885,2019-11-13T23:59:59.999Z,XRP,2019-11-13
31526,0.0196036455,0.0202368882,0.0193581946,0.0201125111,985820300.546589,1341143915.22676,2019-11-13T23:59:59.999Z,TRON,2019-11-13
31527,2.8144726266,3.0777720626,2.7891238193,3.0182902764,209362104.435433,1056401596.754,2019-11-13T23:59:59.999Z,Chainlink,2019-11-13
31528,658.133755921,664.20341172,649.640806794,654.51516851,5171580.30780283,654515168.51,2019-11-13T23:59:59.999Z,Maker,2019-11-13
31529,1.0026821595,1.0087533112,1.0013087594,1.0040051771,6501847.24786234,17951093.6669099,2019-11-13T23:59:59.999Z,Binance USD,2019-11-13
31530,20.8684229999,21.6357134592,20.7065001219,21.2504316692,252296146.076962,3305222291.65847,2019-11-13T23:59:59.999Z,BNB,2019-11-13
31531,4.9039335511,4.9307565302,4.8488492695,4.8629546775,618297626.003185,559526186.767578,2019-11-13T23:59:59.999Z,Ethereum Classic,2019-11-13
31532,0.0770919493,0.0776279763,0.0761799702,0.0765763779,240329082.229403,1535722376.8086,2019-11-13T23:59:59.999Z,Stellar,2019-11-13
31533,0.0284386017,0.0286067449,0.0279670178,0.0281040193,7237006.53592813,136251236.688168,2019-11-13T23:59:59.999Z,Ravencoin,2019-11-13
